,Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro,Currency,Miasto,Dzielnica,Wspolrzedne,Szerokosc,Dlugosc
4272,"Gdańsk Jasień, Potęgowska",399000,9322,42.8,2,2,PLN,Gdańsk,Jasień,"Potęgowska, Szadółki, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.3316163,18.5487117
4273,"Gdańsk Długie Ogrody, Siennicka",590000,10866,54.3,3,1,PLN,Gdańsk,Długie ogrody,"Siennicka, Knipawa Rudno, Śródmieście, Gdańsk, województwo pomorskie, 80-728, Polska",54.3483443,18.6698787
4274,"Sopot Dolny Sopot, Lipowa",520000,10379,50.1,3,2,PLN,Sopot,Dolny Sopot,,,
4275,"Gdańsk Orunia Górna, Uranowa",949000,10784,88.0,2,1,PLN,Gdańsk,Orunia Górna,"Uranowa, Orunia Górna, Orunia Górna - Gdańsk Południe, Gdańsk, województwo pomorskie, 80-078, Polska",54.3256094,18.6202868
4276,"Gdynia Dąbrowa, Lukrecjowa",529000,8601,61.5,3,0,PLN,Gdynia,Dąbrowa,"Lukrecjowa, Dąbrówka, Dąbrowa, Gdynia, województwo pomorskie, 81-589, Polska",54.4730949,18.4678132
4277,"Gdańsk Łostowice, Niepołomicka",499000,13861,36.0,4,3,PLN,Gdańsk,Łostowice,"Niepołomicka, Łostowice, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.3143954,18.5946641
4278,"Gdańsk Chełm, Witolda Grabowskiego",499000,7933,62.9,2,12,PLN,Gdańsk,Chełm,"Witolda Grabowskiego, Stary Chełm, Chełm, Gdańsk, województwo pomorskie, 80-772, Polska",54.3388283,18.6255804
4279,"Gdynia Działki Leśne, Nowogrodzka",1665000,16989,98.0,2,2,PLN,Gdynia,Działki Leśne,"Nowogrodzka, Działki Leśne, Gdynia, województwo pomorskie, 81-310, Polska",54.5147341,18.5327761
4280,"Gdynia Śródmieście, Kazimierza Pułaskiego",949000,17871,53.1,4,0,PLN,Gdynia,Śródmieście,"Kazimierza Pułaskiego, Śródmieście, Gdynia, województwo pomorskie, 81-368, Polska",54.520536,18.5447573
4281,"Gdynia Chylonia, Wejherowska",360000,8163,44.1,2,1,PLN,Gdynia,Chylonia,"Wejherowska, Osiedle Meksyk, Chylonia, Gdynia, województwo pomorskie, 81-052, Polska",54.5415929,18.4716354
4282,"Gdańsk Morena/Jasień, św.Huberta",929900,11070,84.0,3,4,PLN,Gdańsk,Morena,,,
4283,"Gdańsk Wrzeszcz, Grudziądzka",775000,18902,41.0,2,0,PLN,Gdańsk,Wrzeszcz,"Grudziądzka, Kolonia Uroda, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-414, Polska",54.3945614,18.6183213
4284,"Gdynia Babie Doły, Dedala",650000,10833,60.0,4,2,PLN,Gdynia,Babie Doły,"Dedala, Nowe Obłuże, Babie Doły, Gdynia, województwo pomorskie, 81-113, Polska",54.5811117,18.5400454
4285,"Gdynia Wzgórze św. Maksymiliana, Żołnierzy Dywizji Kościuszkowskiej",793100,17500,45.32,3,3,PLN,Gdynia,,"Żołnierzy Dywizji Kościuszkowskiej, Redłowo, Wzgórze Świętego Maksymiliana, Gdynia, województwo pomorskie, 81-453, Polska",54.4986654,18.5428157
4286,"Gdańsk Długie Ogrody, Angielska Grobla",1550000,18623,83.23,1,4,PLN,Gdańsk,Długie ogrody,"Angielska Grobla, Ołowianka, Śródmieście, Gdańsk, województwo pomorskie, 80-755, Polska",54.3505768,18.6615653
4287,"Gdynia Śródmieście, A. Hryniewickiego",2500000,24875,100.5,2,1,PLN,Gdynia,Śródmieście,"Antoniego Hryniewickiego, Śródmieście, Gdynia, województwo pomorskie, 81-369, Polska",54.5220498,18.5466439
4288,"Gdańsk Przymorze, Rzeczypospolitej",350000,11666,30.0,1,0,PLN,Gdańsk,Przymorze,"Aleja Rzeczypospolitej, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-362, Polska",54.4034704,18.5910556
4289,"Gdynia Dąbrowa, Kolendrowa",539500,8276,65.19,3,14,PLN,Gdynia,Dąbrowa,"Kolendrowa, Dąbrówka, Dąbrowa, Gdynia, województwo pomorskie, 81-589, Polska",54.4698964,18.4668049
4290,"Gdańsk Śródmieście, Chmielna",719210,23000,31.27,2,1,PLN,Gdańsk,Śródmieście,"Chmielna, Wyspa Spichrzów, Śródmieście, Gdańsk, województwo pomorskie, 80-748, Polska",54.3456228,18.6558958
4291,"Gdynia Pogórze, Romanowskiego",509000,8079,63.0,3,1,PLN,Gdynia,Pogórze,"Komandora Bolesława Romanowskiego, Pogórze Górne, Pogórze, Gdynia, województwo pomorskie, 81-175, Polska",54.5627029,18.4935861
4292,"Gdańsk Osowa, Daru Pomorza",599000,10221,58.6,2,12,PLN,Gdańsk,Osowa,"Daru Pomorza, Wysoka, Osowa, Gdańsk, województwo pomorskie, 80-299, Polska",54.4233306,18.4699693
4293,"Gdynia Wiczlino, Stanisława Filipkowskiego",555000,10925,50.8,4,0,PLN,Gdynia,Wiczlino,"Stanisława Filipkowskiego, Wiczlino - Ogród, Chwarzno-Wiczlino, Gdynia, województwo pomorskie, 81-577, Polska",54.4866168,18.4280547
4294,"Gdynia Leszczynki, Morska",347000,8897,39.0,1,2,PLN,Gdynia,Leszczynki,"Morska, Leszczynki, Gdynia, województwo pomorskie, 81-064, Polska",54.5370588,18.4757235
4295,Gdańsk Morena,892000,15649,57.0,3,4,PLN,Gdańsk,Morena,"Harcerska Baza Obozowa ,,Morena'', 77, Jaśkowa Dolina, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-287, Polska",54.3680995,18.590122456073757
4296,"Gdynia Działki Leśne, Pomorska",349000,13423,26.0,2,0,PLN,Gdynia,Działki Leśne,"Pomorska, Działki Leśne, Gdynia, województwo pomorskie, 81-314, Polska",54.5154303,18.5302846
4297,Gdynia Orłowo,1599000,16484,97.0,2,0,PLN,Gdynia,Orłowo,"Gdynia Orłowo, Jesionowa, Orłowo, Gdynia, województwo pomorskie, 81-558, Polska",54.4766459,18.5486299
4298,"Gdynia Śródmieście, Świętego Piotra",945590,20287,46.61,2,1,PLN,Gdynia,Śródmieście,"Świętego Piotra, Śródmieście, Gdynia, województwo pomorskie, 81-346, Polska",54.5249337,18.5435171
4299,"Gdańsk Morena, Lema 2",519000,13307,39.0,2,2,PLN,Gdańsk,Morena,,,
4300,"Gdańsk Przymorze, Kołobrzeska",577000,13418,43.0,3,2,PLN,Gdańsk,Przymorze,"Kołobrzeska, Mała Warszawa, Przymorze Małe, Gdańsk, województwo pomorskie, 80-323, Polska",54.4016383,18.5772394
4301,"Gdańsk Letnica, Sucha",720000,18000,40.0,4,0,PLN,Gdańsk,Letnica,"Sucha, Oliwskie Łąki, Letnica, Gdańsk, województwo pomorskie, 80-534, Polska",54.3904967,18.6474929
4302,"Gdańsk Wrzeszcz, Gen. Józefa Hallera",799000,12311,64.9,2,4,PLN,Gdańsk,Wrzeszcz,,,
4303,"Gdynia Orłowo, Józefa Kiedronia",3300000,27895,118.3,2,0,PLN,Gdynia,Orłowo,"Józefa Kiedronia, Nowe Orłowo, Orłowo, Gdynia, województwo pomorskie, 81-521, Polska",54.4809525,18.5530721
4304,"Gdynia Chylonia, Kartuska",325000,7420,43.8,4,7,PLN,Gdynia,Chylonia,"Kartuska, Chylonia, Gdynia, województwo pomorskie, 81-057, Polska",54.5379601,18.4583604
4305,Gdynia Śródmieście,620000,17222,36.0,3,2,PLN,Gdynia,Śródmieście,"Śródmieście, Gdynia, województwo pomorskie, Polska",54.5197073,18.5391734
4306,"Gdańsk Aniołki, Tuwima",1099000,13075,84.05,2,5,PLN,Gdańsk,Aniołki,"Juliana Tuwima, Kolonia Przybyszewskiego, Aniołki, Gdańsk, województwo pomorskie, 80-210, Polska",54.3651166,18.6310928
4307,"Gdynia Obłuże, Mjr. Henryka Sucharskiego",499000,8316,60.0,3,5,PLN,Gdynia,Obłuże,"majora Henryka Sucharskiego, Obłuże Leśne, Obłuże, Gdynia, województwo pomorskie, 81-157, Polska",54.5575734,18.5063659
4308,Gdynia Chylonia,399000,8503,46.92,2,2,PLN,Gdynia,Chylonia,"Gdynia Chylonia, Meksykańska, Osiedle Meksyk, Chylonia, Gdynia, województwo pomorskie, 81-025, Polska",54.5457503,18.4636617
4309,"Gdańsk Osowa, Koziorożca",649000,10079,64.39,3,1,PLN,Gdańsk,Osowa,"Koziorożca, Osowa, Gdańsk, województwo pomorskie, 80-299, Polska",54.4213261,18.4725838
4310,"Gdynia Witomino, Widna",339000,9641,35.16,3,2,PLN,Gdynia,Witomino,"Widna, Witomino-Radiostacja, Witomino, Gdynia, województwo pomorskie, 81-543, Polska",54.5011822,18.50874
4311,"Gdańsk Dolne Miasto, Reduta Dzik",669000,8920,75.0,2,2,PLN,Gdańsk,Dolne miasto,"Reduta Dzik, Dolne Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-745, Polska",54.3424321,18.6652968
4312,"Gdańsk Wrzeszcz, Do Studzienki",1199000,14273,84.0,2,0,PLN,Gdańsk,Wrzeszcz,"Do Studzienki, Studzienka, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-229, Polska",54.3750671,18.6134272
4313,"Gdynia Chylonia, Swarzewska",548000,9964,55.0,3,4,PLN,Gdynia,Chylonia,"Swarzewska, Chylonia, Gdynia, województwo pomorskie, 81-057, Polska",54.5355426,18.4593452
4314,"Gdańsk Siedlce, Kartuska",499000,11175,44.65,4,3,PLN,Gdańsk,Siedlce,"Kartuska, Kolonia Spójnia, Siedlce, Gdańsk, województwo pomorskie, 80-103, Polska",54.3511063,18.6352725
4315,"Gdańsk Chełm, Wawelska 4",699000,10753,65.0,2,3,PLN,Gdańsk,Chełm,"4, Wawelska, Osiedle Błękitna Kaskada, Chełm, Gdańsk, województwo pomorskie, 80-034, Polska",54.32838445,18.611932124089527
4316,"Gdynia Działki Leśne, Pomorska",1990000,25031,79.5,3,1,PLN,Gdynia,Działki Leśne,"Pomorska, Działki Leśne, Gdynia, województwo pomorskie, 81-314, Polska",54.5154303,18.5302846
4317,"Gdańsk Długie Ogrody, Łąkowa",1300000,23491,55.34,2,0,PLN,Gdańsk,Długie ogrody,"Łąkowa, Długie Ogrody, Śródmieście, Gdańsk, województwo pomorskie, 80-745, Polska",54.3445039,18.6632833
4318,"Gdańsk Św. Wojciech, Kazimierza Wielkiego",537000,9983,53.79,2,4,PLN,Gdańsk,,,,
4319,Gdańsk Przymorze,649000,15452,42.0,2,1,PLN,Gdańsk,Przymorze,"Przymorze Małe, Gdańsk, województwo pomorskie, Polska",54.4091767,18.5832127
4320,"Gdynia Chylonia, Wejherowska",399000,8504,46.92,4,2,PLN,Gdynia,Chylonia,"Wejherowska, Osiedle Meksyk, Chylonia, Gdynia, województwo pomorskie, 81-052, Polska",54.5415929,18.4716354
4321,"Gdynia Grabówek, Orlicz-Dreszera",295000,10825,27.25,3,1,PLN,Gdynia,Grabówek,,,
4322,"Gdańsk Długie Ogrody, Szafarnia",2500000,20833,120.0,5,2,PLN,Gdańsk,Długie ogrody,"Szafarnia, Wyspa Spichrzów, Śródmieście, Gdańsk, województwo pomorskie, 80-755, Polska",54.3494168,18.6602316
4323,"Sopot Dolny Sopot, 3 Maja",800000,15634,51.17,2,2,PLN,Sopot,Dolny Sopot,"Rezydent, 3, Plac Konstytucji 3 Maja, Sopot Dolny, Sopot, województwo pomorskie, 81-704, Polska",54.4426601,18.562867034746276
4324,"Gdańsk Strzyża, Fryderyka Chopina",1095000,11406,96.0,2,1,PLN,Gdańsk,Strzyża,"Fryderyka Chopina, Strzyża Górna, Strzyża, Gdańsk, województwo pomorskie, 80-289, Polska",54.3852072,18.5790165
4325,"Gdańsk Letnica, Starowiejska",578000,11169,51.75,3,2,PLN,Gdańsk,Letnica,"Starowiejska, Kolonia Gwiazda Morza, Letnica, Gdańsk, województwo pomorskie, 80-536, Polska",54.3981198,18.6476667
4326,"Gdynia Wiczlino, Stanisława Filipkowskiego",599000,11519,52.0,3,1,PLN,Gdynia,Wiczlino,"Stanisława Filipkowskiego, Wiczlino - Ogród, Chwarzno-Wiczlino, Gdynia, województwo pomorskie, 81-577, Polska",54.4866168,18.4280547
4327,"Gdynia Grabówek, Kołłątaja Hugo",499000,9239,54.01,3,4,PLN,Gdynia,Grabówek,"Hugo Kołłątaja, Grabówek, Gdynia, województwo pomorskie, 81-323, Polska",54.5227643,18.5197447
4328,"Gdańsk Przymorze, Rzeczypospolitej",990000,14142,70.0,3,3,PLN,Gdańsk,Przymorze,"Aleja Rzeczypospolitej, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-362, Polska",54.4034704,18.5910556
4329,"Gdynia Śródmieście, Węglowa",1590000,21486,74.0,2,1,PLN,Gdynia,Śródmieście,"Węglowa, Śródmieście, Gdynia, województwo pomorskie, 81-347, Polska",54.5268087,18.5440399
4330,"Gdańsk Morena, Heleny Marusarzówny",650000,9233,70.4,2,0,PLN,Gdańsk,Morena,,,
4331,"Gdańsk Łostowice, Kryształowa",529900,10190,52.0,3,0,PLN,Gdańsk,Łostowice,,,
4332,"Gdynia Chylonia, Ludwika Zamenhofa",255000,9733,26.2,2,0,PLN,Gdynia,Chylonia,"Ludwika Zamenhofa, Chylonia, Gdynia, województwo pomorskie, 81-218, Polska",54.5368438,18.4805808
4333,Gdańsk Śródmieście,699000,12595,55.5,3,1,PLN,Gdańsk,Śródmieście,"Gdańsk Śródmieście, Nowe Podwale Grodzkie, Zaroślak, Śródmieście, Gdańsk, województwo pomorskie, 80-819, Polska",54.3468793,18.6443526
4334,"Gdańsk Żabianka, Orłowska",550000,16034,34.3,3,0,PLN,Gdańsk,Żabianka,"Orłowska, Osiedle Młodych, Żabianka-Wejhera-Jelitkowo-Tysiąclecia, Gdańsk, województwo pomorskie, 80-347, Polska",54.4246549,18.5848093
4335,Gdynia Leszczynki,699000,13528,51.67,4,4,PLN,Gdynia,Leszczynki,"Gdynia Leszczynki, Chylońska, Osiedle Meksyk, Chylonia, Gdynia, województwo pomorskie, 81-041, Polska",54.5414074,18.4785636
4336,Gdynia Oksywie,385000,7264,53.0,3,3,PLN,Gdynia,Oksywie,"Gdynia/Oksywie, Australijska, Osiedle Gdyńskie, Oksywie, Gdynia, województwo pomorskie, 81-114, Polska",54.5458913,18.5362053
4337,"Sopot Dolny Sopot, Bohaterów Monte Cassino",1599000,13358,119.7,3,2,PLN,Sopot,Dolny Sopot,"Bohaterów Monte Cassino, Sopot Dolny, Sopot, województwo pomorskie, Polska",54.4431438,18.561881219506724
4338,"Sopot Górny Sopot, Gen. Władysława Sikorskiego",1700000,16831,101.0,3,2,PLN,Sopot,Górny Sopot,,,
4339,"Gdańsk Morena, Związku Jaszczurczego",589000,9386,62.75,5,0,PLN,Gdańsk,Morena,,,
4340,"Gdańsk Oliwa, Poczty Gdańskiej",970000,12551,77.28,2,0,PLN,Gdańsk,Oliwa,"Poczty Gdańskiej, Dwór I, Oliwa, Gdańsk, województwo pomorskie, 80-320, Polska",54.4095215,18.5693828
4341,"Gdańsk Ujeścisko, Kołodzieja",1000000,10000,100.0,2,1,PLN,Gdańsk,Ujeścisko,"Mariana Kołodzieja, Słoneczne Wzgórza, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-158, Polska",54.3335069,18.5857229
4342,"Gdańsk Dolne Miasto, Łąkowa",893000,12219,73.08,2,4,PLN,Gdańsk,Dolne miasto,"Łąkowa, Dolne Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-769, Polska",54.342615,18.6621761
4343,"Gdynia Witomino, Nauczycielska",512000,11990,42.7,5,6,PLN,Gdynia,Witomino,"Nauczycielska, Witomino-Radiostacja, Witomino, Gdynia, województwo pomorskie, 81-614, Polska",54.5007428,18.5046602
4344,"Gdynia Mały Kack, Parkowa",690152,12852,53.7,2,0,PLN,Gdynia,Mały Kack,"Parkowa, Kolonia Wielki Kack, Mały Kack, Gdynia, województwo pomorskie, Polska",54.472260950000006,18.516295530675727
4345,"Gdańsk Przymorze, Piastowska",499000,11909,41.9,4,1,PLN,Gdańsk,Przymorze,"Piastowska, Wojnowo, Przymorze Małe, Gdańsk, województwo pomorskie, 80-352, Polska",54.4158038,18.5869742
4346,"Gdańsk Wrzeszcz, Waryńskiego Ludwika",1190000,9370,127.0,2,1,PLN,Gdańsk,Wrzeszcz,"Ludwika Waryńskiego, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-242, Polska",54.378644,18.6118977
4347,"Gdańsk Dolne Miasto, Wierzbowa",481600,14000,34.4,4,2,PLN,Gdańsk,Dolne miasto,"Wierzbowa, Dolne Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-746, Polska",54.3397538,18.6555551
4348,"Gdańsk Łostowice, Tenisowa",700000,8022,87.25,3,4,PLN,Gdańsk,Łostowice,,,
4349,"Gdańsk Oliwa, Poczty Gdańskiej",970000,12490,77.66,2,0,PLN,Gdańsk,Oliwa,"Poczty Gdańskiej, Dwór I, Oliwa, Gdańsk, województwo pomorskie, 80-320, Polska",54.4095215,18.5693828
4350,"Gdańsk Kiełpinek, Przytulna",999000,10406,96.0,2,3,PLN,Gdańsk,Kiełpinek,"Przytulna, Kiełpinek, Jasień, Gdańsk, województwo pomorskie, 80-176, Polska",54.3528312,18.5303177
4351,"Gdańsk Morena, Stanisława Lema",829000,13563,61.12,1,3,PLN,Gdańsk,Morena,,,
4352,"Gdańsk Kokoszki, Nowatorów",480000,11843,40.53,3,1,PLN,Gdańsk,Kokoszki,"Nowatorów, Kokoszki, Gdańsk, województwo pomorskie, 80-298, Polska",54.3652312,18.4910782
4353,"Gdańsk Przymorze, Obrońców Wybrzeża",375000,9868,38.0,3,1,PLN,Gdańsk,Przymorze,"Obrońców Wybrzeża, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-375, Polska",54.4087838,18.5891854
4354,"Gdynia Orłowo, Józefa Kiedronia",1090000,28684,38.0,3,6,PLN,Gdynia,Orłowo,"Józefa Kiedronia, Nowe Orłowo, Orłowo, Gdynia, województwo pomorskie, 81-521, Polska",54.4809525,18.5530721
4355,"Gdańsk Jasień, Bażantowa",699000,12263,57.0,3,0,PLN,Gdańsk,Jasień,"Bażantowa, Wróbla Staw - mieszkania, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.3482702,18.5518862
4356,"Sopot Dolny Sopot, Parkowa",1490000,21594,69.0,2,2,PLN,Sopot,Dolny Sopot,"Parkowa, Sopot Dolny, Sopot, województwo pomorskie, 81-727, Polska",54.4412515,18.5729606
4357,"Gdynia Leszczynki, Stefana Ramułta",473000,10511,45.0,2,9,PLN,Gdynia,Leszczynki,"Stefana Ramułta, Osiedle Pekin, Leszczynki, Gdynia, województwo pomorskie, 81-216, Polska",54.5342452,18.4874373
4358,Gdańsk Brzeźno,859900,11024,78.0,4,3,PLN,Gdańsk,Brzeźno,"Brzeźno, Gdańsk, województwo pomorskie, Polska",54.4048419,18.6310398
4359,"Gdynia Wielki Kack, Żuławska",465000,10814,43.0,1,4,PLN,Gdynia,Wielki Kack,"Żuławska, Wielki Kack, Gdynia, województwo pomorskie, 81-575, Polska",54.465878,18.4994371
4360,"Gdynia Dąbrowa, Rumiankowa",534000,7469,71.5,4,3,PLN,Gdynia,Dąbrowa,"Rumiankowa, Dąbrówka, Dąbrowa, Gdynia, województwo pomorskie, 81-589, Polska",54.4738759,18.4538687
4361,"Gdańsk Niedźwiednik, Góralska",899000,8561,105.0,3,4,PLN,Gdańsk,Niedźwiednik,"Góralska, Niedźwiednik, Brętowo, Gdańsk, województwo pomorskie, 80-292, Polska",54.3743393,18.5663963
4362,Gdynia Karwiny,345000,10432,33.07,3,2,PLN,Gdynia,Karwiny,"Gdynia Karwiny, Strzelców, Kolonia Wielki Kack, Mały Kack, Gdynia, województwo pomorskie, 81-583, Polska",54.4698847,18.508883
4363,"Gdynia Demptowo, Skarbka",524000,6282,83.4,2,4,PLN,Gdynia,Demptowo,"Skarbka, Demptowo, Pustki Cisowskie, Pustki-Demptowo, Gdynia, województwo pomorskie, 81-097, Polska",54.5277217,18.4574807
4364,"Gdańsk Zaspa, Startowa",580000,9415,61.6,3,0,PLN,Gdańsk,Zaspa,"Startowa, Młyniec, Zaspa-Młyniec, Gdańsk, województwo pomorskie, 80-461, Polska",54.3975453,18.5955881
4365,"Gdynia Mały Kack, Kameralna",899000,14479,62.09,3,1,PLN,Gdynia,Mały Kack,"Kameralna, Mały Kack, Gdynia, województwo pomorskie, 81-549, Polska",54.4701816,18.51887
4366,Gdańsk Jasień,425000,12142,35.0,2,2,PLN,Gdańsk,Jasień,"Gdańsk Jasień, Generała Władysława Andersa, Jasień, Gdańsk, województwo pomorskie, 80-283, Polska",54.3536518,18.5500839
4367,"Sopot Kraszewskiego, 21",763000,14396,53.0,2,2,PLN,Sopot,,"21, Józefa Kraszewskiego, Kamienny Potok, Sopot, województwo pomorskie, 81-815, Polska",54.4542407,18.54958851651877
4368,"Gdańsk Karczemki, Jaśminowy Stok",577000,10342,55.79,3,0,PLN,Gdańsk,Karczemki,"Jaśminowy Stok, Karczemki, Kokoszki, Gdańsk, województwo pomorskie, 80-178, Polska",54.3547953,18.509441
4369,"Gdynia Karwiny, Baczyńskiego K.k.",400000,7906,50.59,2,3,PLN,Gdynia,Karwiny,,,
4370,"Gdańsk Stogi, Tamka",399000,9477,42.1,3,1,PLN,Gdańsk,Stogi,"Tamka, Stogi, Gdańsk, województwo pomorskie, 80-609, Polska",54.358222,18.7053712
4371,"Gdańsk Orunia Górna, Krzemowa",429000,7001,61.27,3,1,PLN,Gdańsk,Orunia Górna,"Krzemowa, Orunia Górna, Orunia Górna - Gdańsk Południe, Gdańsk, województwo pomorskie, 80-078, Polska",54.3266167,18.6191145
4372,"Gdynia Działki Leśne, Warszawska",808000,12060,67.0,3,1,PLN,Gdynia,Działki Leśne,"Warszawska, Działki Leśne, Gdynia, województwo pomorskie, 81-324, Polska",54.521185,18.5267091
4373,"Gdańsk Jasień, Jabłoniowa",698000,9284,75.18,3,4,PLN,Gdańsk,Jasień,"Jabłoniowa, Szadółki, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.3304206,18.5558035
4374,"Sopot, Niepodległości",952000,14000,68.0,3,0,PLN,Sopot,,"Sopot, Aleja Niepodległości, Kamienny Potok, Sopot, województwo pomorskie, 81-816, Polska",54.4617366,18.5537795
4375,"Gdańsk Jasień, Damroki",670000,9115,73.5,2,4,PLN,Gdańsk,Jasień,"Damroki, Os. Gardenia, Jasień, Gdańsk, województwo pomorskie, 80-125, Polska",54.3439816,18.5644809
4376,"Gdynia Obłuże, Benisławskiego",370000,8114,45.6,3,0,PLN,Gdynia,Obłuże,"Benisławskiego, Michała Benisławskiego, Obłuże, Gdynia, województwo pomorskie, 81-173, Polska",54.5543531,18.52428443988323
4377,"Gdańsk Łostowice, Niepołomicka",760000,9879,76.93,3,0,PLN,Gdańsk,Łostowice,"Niepołomicka, Łostowice, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.3143954,18.5946641
4378,"Sopot Dolny Sopot, Jana Jerzego Haffnera",2500000,33333,75.0,3,1,PLN,Sopot,Dolny Sopot,"Jana Jerzego Haffnera, Sopot Dolny, Sopot, województwo pomorskie, 81-715, Polska",54.4506143,18.5618459
4379,"Gdańsk Suchanino, Karola Kurpińskiego",460000,8795,52.3,3,1,PLN,Gdańsk,Suchanino,"Karola Kurpińskiego, Trzy Lipy, Suchanino, Gdańsk, województwo pomorskie, 80-169, Polska",54.3520987,18.6015351
4380,"Gdańsk Śródmieście, Garncarska",699000,12482,56.0,2,4,PLN,Gdańsk,Śródmieście,"Garncarska, Stare Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-886, Polska",54.3522919,18.6475883
4381,"Gdańsk Żabianka, Pomorska",609000,10856,56.1,3,1,PLN,Gdańsk,Żabianka,"Pomorska, Żabianka, Żabianka-Wejhera-Jelitkowo-Tysiąclecia, Gdańsk, województwo pomorskie, 80-345, Polska",54.4179618,18.5777267
4382,"Sopot Dolny Sopot, Dębowa",1385000,17312,80.0,2,5,PLN,Sopot,Dolny Sopot,,,
4383,"Gdynia Śródmieście, Portowa",840000,10244,82.0,2,3,PLN,Gdynia,Śródmieście,"Portowa, Śródmieście, Gdynia, województwo pomorskie, 81-350, Polska",54.5245895,18.542969
4384,"Gdańsk Jasień, Lawendowe Wzgórze",689000,10838,63.57,2,3,PLN,Gdańsk,Jasień,"Lawendowe Wzgórze, Szadółki, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.3272503,18.5595174
4385,"Gdańsk Jasień, Potęgowska",495000,13750,36.0,3,0,PLN,Gdańsk,Jasień,"Potęgowska, Szadółki, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.3316163,18.5487117
4386,"Gdańsk Łostowice, Topazowa",419000,12892,32.5,2,4,PLN,Gdańsk,Łostowice,,,
4387,"Gdynia Witomino, Konwaliowa",366000,8472,43.2,3,2,PLN,Gdynia,Witomino,"Konwaliowa, Witomino-Radiostacja, Witomino, Gdynia, województwo pomorskie, 81-660, Polska",54.5013275,18.5147885
4388,"Gdańsk Wrzeszcz, Aldony",1225000,14411,85.0,2,5,PLN,Gdańsk,Wrzeszcz,"Aldony, Brunów, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-422, Polska",54.382458,18.6127532
4389,"Gdańsk Wrzeszcz, Wajdeloty 19",800000,10666,75.0,2,1,PLN,Gdańsk,Wrzeszcz,"19, Wajdeloty, Kuźniczki, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-437, Polska",54.381526199999996,18.61016956288281
4390,"Gdynia Dąbrowa, Lukrecjowa",549000,8927,61.5,4,4,PLN,Gdynia,Dąbrowa,"Lukrecjowa, Dąbrówka, Dąbrowa, Gdynia, województwo pomorskie, 81-589, Polska",54.4730949,18.4678132
4391,"Gdańsk Łostowice, Niepołomicka",399000,11735,34.0,3,5,PLN,Gdańsk,Łostowice,"Niepołomicka, Łostowice, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.3143954,18.5946641
4392,Gdynia Śródmieście,499000,13131,38.0,4,2,PLN,Gdynia,Śródmieście,"Śródmieście, Gdynia, województwo pomorskie, Polska",54.5197073,18.5391734
4393,"Gdynia Pustki Cisowskie, Chabrowa",820000,9111,90.0,2,1,PLN,Gdynia,Pustki Cisowskie,"Chabrowa, Pustki Cisowskie-Demptowo, Pustki Cisowskie, Pustki-Demptowo, Gdynia, województwo pomorskie, 81-082, Polska",54.5329163,18.4500526
4394,"Gdańsk Brzeźno, Gdańska",1043013,16635,62.7,3,0,PLN,Gdańsk,Brzeźno,"Gdańska, Brzeźno, Gdańsk, województwo pomorskie, Polska",54.401323500000004,18.633564406011097
4395,"Gdańsk Wrzeszcz, Ludwika Waryńskiego",945000,9962,94.86,2,2,PLN,Gdańsk,Wrzeszcz,"Ludwika Waryńskiego, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-242, Polska",54.378644,18.6118977
4396,"Gdańsk Śródmieście, Św. Ducha",740000,19473,38.0,1,3,PLN,Gdańsk,Śródmieście,"Świętego Ducha, Stare Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-881, Polska",54.3514191,18.6492273
4397,"Gdańsk Wrzeszcz, Grudziądzka",1080000,17419,62.0,2,1,PLN,Gdańsk,Wrzeszcz,"Grudziądzka, Kolonia Uroda, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-414, Polska",54.3945614,18.6183213
4398,"Gdańsk Morena, Magellana",699000,12835,54.46,3,7,PLN,Gdańsk,Morena,,,
