Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro
"Gdańsk Stogi, Tamka",329 000 zł,8989 zł/m2,36.6,2,parter
"Gdańsk Przymorze, Piastowska",475 000 zł,13194 zł/m2,36,1,6
"Gdańsk Morena, Magellana",1 149 000 zł,19150 zł/m2,60,3,5
"Gdańsk Wrzeszcz, Antoniego Słonimskiego",1 155 000 zł,16500 zł/m2,70,3,5
"Gdańsk Dolne Miasto, Kamienna Grobla",699 000 zł,13980 zł/m2,50,2,parter
"Sopot Górny Sopot, Niepodległości",499 000 zł,14676 zł/m2,34,1,3
"Gdańsk Łostowice, Niepołomicka",682 000 zł,9646 zł/m2,70.7,3,3
"Gdańsk Chełm, Prof. Romualda Cebertowicza",499 000 zł,7870 zł/m2,63.4,3,9
"Gdańsk Przymorze, Obrońców Wybrzeża",449 000 zł,9761 zł/m2,46,2,1
"Gdańsk Brzeźno, Konrada Korzeniowskiego",1 100 000 zł,12113 zł/m2,90.81,3,4
"Gdańsk Stogi, Hoża",395 000 zł,9272 zł/m2,42.6,2,4
"Gdańsk Zaspa, Bolesława Chrobrego",1 250 000 zł,19888 zł/m2,62.85,3,2
"Gdynia Redłowo, Bohaterów Starówki Warszawskiej",530 000 zł,10082 zł/m2,52.57,2,3
"Gdańsk Długie Ogrody, Angielska Grobla",1 550 000 zł,18623 zł/m2,83.23,4,3
"Sopot Wyścigi / Karlikowo, Karlikowska",570 000 zł,18387 zł/m2,31,2,5
"Gdańsk Wrzeszcz, Gen. Józefa Hallera",950 000 zł,18969 zł/m2,50.08,2,4
"Gdynia Śródmieście, Węglowa",1 370 000 zł,28939 zł/m2,47.34,2,3
"Gdańsk Żabianka, Jakuba Wejhera",549 000 zł,13390 zł/m2,41,2,parter
Sopot Dolny Sopot,1 199 000 zł,15545 zł/m2,77.13,3,3
"Gdańsk Przymorze, Chłopska",335 000 zł,11166 zł/m2,30,1,parter
"Gdynia Kamienna Góra, Marsz. Piłsudskiego",690 000 zł,14053 zł/m2,49.1,2,8
"Gdańsk Przymorze, Obrońców Wybrzeża",920 000 zł,15333 zł/m2,60,3,1
"Gdańsk Żabianka, Chłopska",1 800 000 zł,18218 zł/m2,98.8,3,2
