Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro
"Gdynia Wiczlino, Gen. Mariusza Zaruskiego",619 000 zł,11949 zł/m2,51.8,3,3
"Gdańsk Stogi, Wilhelma Stryjewskiego",465 000 zł,9985 zł/m2,46.57,3,2
"Gdańsk Jasień, Kazimierza Leskiego",629 000 zł,10148 zł/m2,61.98,2,1
"Gdańsk Siedlce, Tarasy",460 000 zł,10727 zł/m2,42.88,3,parter
"Gdańsk Śródmieście, Okrąg",470 000 zł,10262 zł/m2,45.8,2,2
"Gdańsk Śródmieście, Płowce",590 000 zł,10207 zł/m2,57.8,2,2
"Gdynia Mały Kack, Parkowa",835 000 zł,18461 zł/m2,45.23,2,2
"Gdańsk Morena, Królewskie Wzgórze",600 000 zł,12245 zł/m2,49,3,parter
"Sopot Dolny Sopot, Gen. Kazimierza Pułaskiego",2 999 000 zł,37024 zł/m2,81,2,8
"Gdańsk Wrzeszcz, Róży Ostrowskiej",519 900 zł,12204 zł/m2,42.6,3,parter
"Gdynia Wielki Kack, Starodworcowa",769 000 zł,10391 zł/m2,74,3,4
"Gdańsk Orunia Górna, Dywizji Wołyńskiej",670 000 zł,10276 zł/m2,65.2,3,3
Sopot Górny Sopot,1 590 000 zł,17282 zł/m2,92,2,3
"Gdańsk Chełm, Władysława Cieszyńskiego",498 000 zł,10397 zł/m2,47.9,2,1
"Gdynia Oksywie, Inż. J. Śmidowicza",385 000 zł,11561 zł/m2,33.3,3,4
"Gdynia Śródmieście, Władysława Iv",499 000 zł,10538 zł/m2,47.35,3,3
"Gdańsk Wrzeszcz, Aldony",925 000 zł,12500 zł/m2,74,1,12
"Gdańsk Morena, Piecewska",548 000 zł,21125 zł/m2,25.94,3,parter
"Gdańsk Zakoniczyn, Konrada Guderskiego",579 000 zł,10320 zł/m2,56.1,4,3
"Gdańsk Chełm, Rogalińska",899 000 zł,9201 zł/m2,97.7,2,4
"Gdańsk Oliwa, Karpacka",459 000 zł,11475 zł/m2,40,2,parter
"Gdynia Dąbrowa, Kolendrowa",539 500 zł,8276 zł/m2,65.19,3,1
Gdynia Cisowa,379 999 zł,8326 zł/m2,45.64,1,7
"Gdynia Leszczynki, Orlicz-Dreszera",275 000 zł,9075 zł/m2,30.3,4,3
"Gdańsk Morena, Czecha",629 000 zł,8985 zł/m2,70,4,1
"Gdańsk Oliwa, Poczty Gdańskiej",1 300 000 zł,13069 zł/m2,99.47,2,3
"Gdynia Witomino, Pogodna",380 000 zł,9047 zł/m2,42,2,3
"Gdańsk Biskupia Górka, Na Stoku",760 000 zł,11515 zł/m2,66,3,1
"Gdańsk Długie Ogrody, Szafarnia",1 910 000 zł,25131 zł/m2,76,2,1
"Gdańsk Jasień, Lawendowe Wzgórze",490 000 zł,12392 zł/m2,39.54,3,3
"Gdynia Karwiny, Janiny Porazińskiej",1 199 000 zł,17412 zł/m2,68.86,2,4
"Gdynia Działki Leśne, Szczecińska",485 000 zł,11279 zł/m2,43,3,2
"Gdańsk Śródmieście, Rajska",1 250 000 zł,21551 zł/m2,58,4,4
"Gdańsk Morena, Franciszka Zabłockiego",655 000 zł,10298 zł/m2,63.6,3,3
"Gdańsk Dolne Miasto, Łąkowa",849 000 zł,9965 zł/m2,85.2,2,3
"Gdańsk Niedźwiednik, Góralska",525 000 zł,10500 zł/m2,50,4,3
"Gdańsk Chełm, Władysława Cieszyńskiego",849 000 zł,7319 zł/m2,116,2,parter
"Gdańsk Matemblewo, Potokowa",699 000 zł,13869 zł/m2,50.4,3,6
"Gdynia Witomino, Strażacka",399 000 zł,8278 zł/m2,48.2,3,5
"Gdańsk Przymorze, Śląska",1 150 000 zł,17187 zł/m2,66.91,1,parter
"Gdańsk Siedlce, Zakopiańska",490 000 zł,11864 zł/m2,41.3,2,parter
"Gdańsk Śródmieście, Św. Barbary",987 000 zł,20179 zł/m2,48.91,1,3
"Gdańsk Młode Miasto, Ks. Jerzego Popiełuszki",640 000 zł,19607 zł/m2,32.64,3,parter
"Gdańsk Letnica, Starowiejska",1 230 000 zł,19218 zł/m2,64,2,2
"Gdańsk Jasień, Potęgowska",369 000 zł,11215 zł/m2,32.9,3,3
"Gdańsk Żabianka, Orłowska",599 000 zł,11932 zł/m2,50.2,3,8
"Gdańsk Wrzeszcz, Juliusza Słowackiego",449 000 zł,9531 zł/m2,47.11,4,parter
"Gdańsk Wrzeszcz, Jana Matejki",1 300 000 zł,11669 zł/m2,111.4,3,3
"Gdańsk Stogi, Hoża",426 000 zł,12347 zł/m2,34.5,2,1
"Gdańsk Wrzeszcz, Gen. De Gaulle'a",649 000 zł,11952 zł/m2,54.3,3,3
"Gdańsk Matarnia - Rębiechowo, Elewów",615 000 zł,11117 zł/m2,55.32,4,1
"Gdynia Dąbrowa, Sojowa",749 000 zł,8845 zł/m2,84.68,3,4
"Gdańsk Ujeścisko, Ciechanowska",499 000 zł,9596 zł/m2,52,3,2
"Gdynia Wzgórze św. Maksymiliana, Legionów",779 000 zł,12133 zł/m2,64.2,3,3
"Gdynia Dąbrowa, Szafranowa",510 000 zł,8121 zł/m2,62.8,3,8
"Gdańsk Wrzeszcz, Sobótki",520 000 zł,9454 zł/m2,55,3,11
"Gdynia Chylonia, Kcyńska",389 000 zł,6946 zł/m2,56,3,11
"Gdańsk Wrzeszcz, Partyzantów",1 650 000 zł,21337 zł/m2,77.33,2,3
"Gdańsk Przymorze, Rzeczypospolitej",649 000 zł,12725 zł/m2,51,3,3
"Gdańsk Wrzeszcz, Aldony",925 000 zł,12500 zł/m2,74,3,parter
"Gdańsk Chełm, Romualda Cebertowicza",529 000 zł,8343 zł/m2,63.4,3,3
"Gdańsk Chełm, Reformacka",689 000 zł,10649 zł/m2,64.7,3,2
"Gdynia Mały Kack, Kłajpedzka",1 250 000 zł,15451 zł/m2,80.9,3,2
"Gdynia Mały Kack, Parkowa",1 018 000 zł,15790 zł/m2,64.47,2,1
"Gdańsk Stogi, Zalesie",330 000 zł,9455 zł/m2,34.9,3,2
"Gdańsk Morena, Heleny Marusarzówny",560 000 zł,9475 zł/m2,59.1,3,parter
"Gdańsk Orunia Górna, Dywizji Wołyńskiej",699 000 zł,10655 zł/m2,65.6,2,16
Gdańsk Przymorze,460 000 zł,10222 zł/m2,45,4,3
"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",3 200 000 zł,23273 zł/m2,137.5,2,3
"Gdańsk Morena, Myśliwska",559 000 zł,13567 zł/m2,41.2,3,3
"Gdańsk Chełm, 80-180 Gdansk",529 000 zł,8343 zł/m2,63.4,3,3
"Gdańsk Przeróbka, Bajki",550 000 zł,10185 zł/m2,54,4,2
"Gdynia Wielki Kack, Damroki",749 000 zł,7802 zł/m2,96,3,1
"Gdańsk Siedlce, Jacka Malczewskiego",729 000 zł,14062 zł/m2,51.84,2,2
Gdynia Pogórze,849 000 zł,14150 zł/m2,60,3,parter
"Gdańsk Brzeźno, Dworska 26",629 000 zł,10693 zł/m2,58.82,3,2
"Gdańsk Jasień, Jabłoniowa 22",549 000 zł,9206 zł/m2,59.63,2,1
"Gdańsk Kowale, Zeusa 43",429 000 zł,9499 zł/m2,45.16,2,2
"Sopot Wyścigi / Karlikowo, Niepodległości",549 000 zł,11409 zł/m2,48.12,2,4
"Gdańsk Wrzeszcz, Gen. Józefa Hallera",469 000 zł,12025 zł/m2,39,3,parter
"Gdańsk Orunia Górna, Dywizji Wołyńskiej",669 000 zł,10261 zł/m2,65.2,2,parter
"Gdynia Śródmieście, Jerzego Waszyngtona",560 000 zł,12844 zł/m2,43.6,3,4
"Sopot Kamienny Potok, Tatrzańska",650 000 zł,14232 zł/m2,45.67,2,2
Gdańsk Brzeźno,479 000 zł,13686 zł/m2,35,4,2
"Gdańsk Oliwa, Poczty Gdańskiej",1 420 000 zł,13654 zł/m2,104,4,3
"Gdańsk Długie Ogrody, Sienna Grobla",1 630 000 zł,15673 zł/m2,104,4,4
"Gdańsk Dolne Miasto, Chłodna",1 250 000 zł,15528 zł/m2,80.5,2,4
"Gdańsk Przymorze, Chłopska",569 000 zł,12644 zł/m2,45,3,2
"Gdańsk Śródmieście, Chłodna",669 000 zł,8920 zł/m2,75,3,4
"Gdynia Kamienna Góra, Krasickiego Ignacego",647 280 zł,11600 zł/m2,55.8,3,3
"Gdynia Wzgórze św. Maksymiliana, Bp. Dominika",695 000 zł,14386 zł/m2,48.31,3,3
"Gdańsk Zakoniczyn, Konstantego Bergiela",699 000 zł,9282 zł/m2,75.3,3,1
"Gdańsk Zakoniczyn, Konstantego Bergiela",699 000 zł,9282 zł/m2,75.3,2,5
Gdańsk Wrzeszcz,650 000 zł,11463 zł/m2,56.7,2,6
"Gdynia Wzgórze św. Maksymiliana, Bp. Dominika",510 000 zł,13783 zł/m2,37,3,2
"Gdynia Pogórze, Ppłk. Kazimierza Pruszkowskiego",449 000 zł,7483 zł/m2,60,3,4
"Gdynia Obłuże, Płk. Stanisława Dąbka",350 000 zł,6631 zł/m2,52.78,2,1
"Gdańsk Żabianka, Pomorska",619 000 zł,14738 zł/m2,42,4,2
"Gdańsk Łostowice, Tenisowa",649 000 zł,7635 zł/m2,85,3,4
"Sopot Dolny Sopot, Obrońców Westerplatte",1 690 000 zł,22295 zł/m2,75.8,2,3
"Gdańsk Stogi, Pawia",399 000 zł,9057 zł/m2,44.05,3,2
"Gdynia Obłuże, Konstantego Maciejewicza",529 000 zł,7262 zł/m2,72.84,3,1
"Gdańsk Jasień, Leszczynowa",599 000 zł,8912 zł/m2,67.21,2,5
Gdańsk Jasień,455 000 zł,11229 zł/m2,40.52,3,1
"Sopot Dolny, Aleja Niepodległości",629 000 zł,11935 zł/m2,52.7,4,parter
"Gdynia Chwarzno, Franciszka Sokoła",799 000 zł,10093 zł/m2,79.16,3,1
"Gdańsk Stare Przedmieście, Lastadia",1 495 000 zł,17968 zł/m2,83.2,3,2
"Gdańsk Morena, Heleny Marusarzówny",650 000 zł,9232 zł/m2,70.4,2,1
"Gdańsk Przymorze, Kołobrzeska",430 000 zł,11316 zł/m2,38,3,2
"Gdańsk Brzeźno, Gen. Józefa Hallera",2 350 000 zł,28292 zł/m2,83.06,3,3
"Gdańsk Śródmieście, Długa",995 000 zł,13783 zł/m2,72.19,3,2
"Gdańsk Ujeścisko, Cedrowa",599 000 zł,11980 zł/m2,50,2,parter
"Gdynia Śródmieście, Władysława Iv",565 000 zł,11855 zł/m2,47.66,3,5
"Gdańsk Jasień, Morelowa",899 000 zł,12733 zł/m2,70.6,2,4
"Sopot Górny Sopot, 23 Marca",545 000 zł,15181 zł/m2,35.9,2,9
Gdynia Śródmieście,799 000 zł,14527 zł/m2,55,3,parter
"Gdańsk Przymorze, Obrońców Wybrzeża",1 010 000 zł,16031 zł/m2,63,2,1
"Sopot Wyścigi / Karlikowo, Polna",1 499 000 zł,29283 zł/m2,51.19,3,4
"Gdańsk Osowa, Koziorożca",749 000 zł,9246 zł/m2,81,3,3
"Gdańsk Morena, Burgaska",519 000 zł,8466 zł/m2,61.3,2,parter
"Gdańsk Ujeścisko, Przemyska",246 500 zł,6486 zł/m2,38,2,2
"Gdańsk Śródmieście, Szeroka",1 150 000 zł,30343 zł/m2,37.9,2,2
"Gdańsk Osowa, Homera",528 000 zł,11234 zł/m2,47,2,parter
"Gdańsk Kokoszki, Jaśminowy Stok",440 000 zł,10068 zł/m2,43.7,4,parter
"Gdańsk Ujeścisko, Łódzka",948 000 zł,12000 zł/m2,79,5,parter
"Sopot Dolny Sopot, Helska",3 100 000 zł,25414 zł/m2,121.98,4,4
"Gdynia Karwiny, Porazińskiej",1 335 000 zł,16618 zł/m2,80.33,1,2
"Gdańsk Orunia, Szafirowa",278 000 zł,10000 zł/m2,27.8,3,2
Gdańsk Jasień,959 000 zł,14754 zł/m2,65,3,parter
"Gdańsk Jasień, Eugeniusza Węgrzyna",959 000 zł,14754 zł/m2,65,1,1
"Gdańsk Stogi, Skiby",339 000 zł,11690 zł/m2,29,2,4
"Gdańsk Orunia Górna Gdańsk Południe, Niepołomicka",549 000 zł,11653 zł/m2,47.11,2,8
"Gdańsk Łostowice, Pastelowa",370 000 zł,10000 zł/m2,37,2,parter
"Gdańsk Suchanino, Paganiniego",449 000 zł,10584 zł/m2,42.42,3,parter
"Gdańsk Jasień, Lawendowe Wzgórze 14",575 000 zł,11885 zł/m2,48.38,2,1
Gdańsk Morena,590 000 zł,12571 zł/m2,46.93,3,7
"Gdańsk Wrzeszcz, Partyzantów",769 000 zł,12206 zł/m2,63,3,1
"Gdynia Chylonia, Chylońska",739 000 zł,14100 zł/m2,52.41,3,parter
"Gdańsk Śródmieście, Górka",609 000 zł,12767 zł/m2,47.7,3,parter
"Gdańsk Wrzeszcz, Jana Kilińskiego",620 000 zł,11923 zł/m2,52,2,parter
"Gdańsk Jasień, Leszczynowa",499 000 zł,9710 zł/m2,51.39,3,2
"Gdańsk Ujeścisko, Wawelska",650 000 zł,10833 zł/m2,60,2,2
"Gdynia Redłowo, Bohaterów Starówki Warszawskiej",640 000 zł,12779 zł/m2,50.08,3,8
"Gdynia Wzgórze św. Maksymiliana, Partyzantów",565 000 zł,11577 zł/m2,48.8,3,parter
"Sopot Kamienny Potok, Henryka Sienkiewicza",789 000 zł,14814 zł/m2,53.26,3,5
Sopot Kamienny Potok,649 900 zł,14230 zł/m2,45.67,2,3
"Gdańsk Zaspa, Pilotów",580 000 zł,13679 zł/m2,42.4,2,2
"Gdynia Obłuże, Benisławskiego",419 000 zł,9976 zł/m2,42,4,parter
"Gdynia Orłowo, Bernadowska",3 100 000 zł,29523 zł/m2,105,2,1
"Gdańsk Łostowice, Pastelowa",429 000 zł,12257 zł/m2,35,4,3
"Gdańsk Morena, Heleny Marusarzówny",629 000 zł,8859 zł/m2,71,3,1
"Gdańsk Orunia, Związkowa",375 000 zł,10135 zł/m2,37,2,1
"Gdańsk Morena, Myśliwskie Wzgórze",520 000 zł,11581 zł/m2,44.9,2,2
"Gdynia Oksywie, Nasypowa",420 000 zł,11238 zł/m2,37.37,3,4
"Gdynia Oksywie, Gen. Stanisława Karpińskiego",734 000 zł,10988 zł/m2,66.8,3,1
"Gdańsk Morena, Magellana",759 000 zł,13149 zł/m2,57.72,3,3
"Gdańsk Kowale, Zeusa",469 000 zł,8926 zł/m2,52.54,2,3
"Gdynia Mały Kack, Leśna",620 000 zł,12831 zł/m2,48.32,2,1
"Gdynia Dąbrowa, Sojowa",379 000 zł,8526 zł/m2,44.45,3,2
"Gdańsk Oliwa, Jarosza Henryka Derdowskiego",1 450 000 zł,9415 zł/m2,154,2,2
"Gdańsk Suchanino, Taborowa",649 000 zł,12245 zł/m2,53,3,1
"Gdynia Karwiny, Kornela Makuszyńskiego",579 000 zł,9175 zł/m2,63.1,2,parter
"Gdańsk Łostowice, Niepołomicka",439 000 zł,11864 zł/m2,37,4,1
Gdańsk Morena,1 399 000 zł,14359 zł/m2,97.43,2,4
"Gdańsk Śródmieście, Lektykarska",795 000 zł,20654 zł/m2,38.49,1,2
"Gdańsk Przymorze, Rzeczypospolitej",365 000 zł,12166 zł/m2,30,2,1
"Gdańsk Stogi, Szpaki",420 000 zł,10000 zł/m2,42,2,3
"Gdańsk Jasień, Władysława Czermińskiego",489 000 zł,9780 zł/m2,50,1,parter
"Gdańsk Ujeścisko, Dąbrówki",399 000 zł,11910 zł/m2,33.5,2,2
"Gdańsk Chełm, Wawelska",545 000 zł,10341 zł/m2,52.7,3,parter
"Gdynia Działki Leśne, Kwidzyńska",895 000 zł,16886 zł/m2,53,3,2
"Gdańsk Chełm, Reformacka 17",689 000 zł,10649 zł/m2,64.7,3,1
"Gdańsk Osowa, Koziorożca 57",649 000 zł,10079 zł/m2,64.39,3,2
"Gdańsk Długie Ogrody, Seredyńskiego Mariana",880 000 zł,10000 zł/m2,88,2,2
"Gdynia Mały Kack, Strzelców",679 000 zł,14844 zł/m2,45.74,2,4
"Gdańsk Letnica, Starowiejska",627 134 zł,12959 zł/m2,48.39,3,3
"Gdańsk Letnica, Starowiejska",830 995 zł,12960 zł/m2,64.12,3,2
"Gdańsk Wrzeszcz, Grudziądzka",1 279 000 zł,17397 zł/m2,73.52,3,parter
"Gdańsk Siedlce, Kolonia Zręby",530 000 zł,8745 zł/m2,60.6,3,2
"Gdańsk Śródmieście, Robotnicza",599 000 zł,11706 zł/m2,51.17,3,2
"Gdańsk Jasień, Aleksandry Gabrysiak",605 000 zł,10980 zł/m2,55.1,2,2
"Sopot Kamienny Potok, Henryka Sienkiewicza",495 000 zł,11785 zł/m2,42,4,2
"Gdańsk Osowa, Wodnika",697 000 zł,9120 zł/m2,76.42,1,1
"Gdynia Witomino, Narcyzowa",299 000 zł,10121 zł/m2,29.54,2,1
"Gdynia Wzgórze św. Maksymiliana, Gen. Józefa Hallera",619 000 zł,12137 zł/m2,51,3,1
"Gdańsk Oliwa, Jana Husa",990 000 zł,11913 zł/m2,83.1,2,3
"Gdańsk Łostowice, Wielkopolska",429 000 zł,11289 zł/m2,38,3,2
"Gdańsk Zakoniczyn, Konstantego Bergiela",699 000 zł,8137 zł/m2,85.9,2,2
"Gdańsk Orunia Górna, Gen. Leopolda Okulickiego",569 000 zł,10307 zł/m2,55.2,3,parter
"Gdańsk Oliwa, Wita Stwosza",1 250 000 zł,17682 zł/m2,70.69,3,3
Gdańsk Nowy Port,770 000 zł,9166 zł/m2,84.01,2,2
"Gdańsk Stogi, Tamka",315 000 zł,8583 zł/m2,36.7,3,1
"Gdańsk Morena, Czesława Miłosza",629 000 zł,12006 zł/m2,52.39,2,3
"Gdańsk Morena, Myśliwskie Wzgórze",599 000 zł,11745 zł/m2,51,2,1
"Gdynia Karwiny, Kornela Makuszyńskiego",440 000 zł,9128 zł/m2,48.2,2,1
"Gdańsk Łostowice, Niepołomicka",399 000 zł,11735 zł/m2,34,2,parter
"Gdynia Wzgórze św. Maksymiliana, Świętojańska",799 000 zł,16576 zł/m2,48.2,3,15
"Gdańsk Ujeścisko, Ujeścisko",699 000 zł,11025 zł/m2,63.4,3,parter
"Gdańsk Przymorze, Rzeczypospolitej",955 000 zł,15403 zł/m2,62,2,1
"Gdańsk Śródmieście, Angielska Grobla",779 000 zł,13910 zł/m2,56,3,2
"Gdańsk Suchanino, Taborowa",569 000 zł,7148 zł/m2,79.6,2,parter
"Gdynia Wielki Kack, Nowodworcowa 10",625 000 zł,12525 zł/m2,49.9,3,2
"Gdynia Chwarzno, Janki Bryla",769 000 zł,11191 zł/m2,68.71,2,parter
"Gdańsk Siedlce, Legnicka",577 000 zł,10990 zł/m2,52.5,2,2
"Gdańsk Żabianka, Pomorska",455 000 zł,12264 zł/m2,37.1,3,3
"Gdańsk Kowale, Apollina",480 000 zł,8275 zł/m2,58,3,2
"Gdańsk Zakoniczyn, Kazimierza Porębskiego",539 000 zł,8045 zł/m2,66.99,2,parter
"Gdańsk Śródmieście, Obrońców Poczty Polskiej",665 000 zł,11981 zł/m2,55.5,2,1
"Gdynia Dąbrowa, Kolendrowa",539 500 zł,8287 zł/m2,65.1,2,4
"Gdańsk Ujeścisko, Jeleniogórska",492 000 zł,10340 zł/m2,47.58,3,parter
"Gdańsk Jasień, Jabłoniowa 15B",680 000 zł,10943 zł/m2,62.14,3,4
"Gdańsk Oliwa, Grunwaldzka",499 000 zł,10824 zł/m2,46.1,3,4
"Gdynia Grabówek, Kmdr. Przybyszewskiego",519 000 zł,6654 zł/m2,78,2,4
"Gdynia Dąbrowa, Rdestowa",459 000 zł,7985 zł/m2,57.48,4,parter
"Gdynia Redłowo, Janusza Korczaka",1 190 000 zł,11712 zł/m2,101.6,3,3
"Gdańsk Długie Ogrody, Św. Barbary",1 350 000 zł,19354 zł/m2,69.75,1,3
"Gdańsk Śródmieście, Pszenna",899 000 zł,31085 zł/m2,28.92,3,2
"Gdańsk Zakoniczyn, Konrada Guderskiego",529 000 zł,9944 zł/m2,53.2,3,parter
"Gdańsk Dolne Miasto, Jałmużnicza",887 000 zł,15984 zł/m2,55.49,3,2
"Gdańsk Morena, Czecha Bronisława",635 000 zł,10409 zł/m2,61,4,4
"Gdynia Redłowo, Powstania Styczniowego",1 790 000 zł,16997 zł/m2,105.31,3,4
"Gdynia Śródmieście, 3 Maja",519 000 zł,9628 zł/m2,53.9,3,1
"Gdańsk Śródmieście, Chłodna",669 000 zł,8920 zł/m2,75,4,9
"Gdynia Pogórze, Kanaryjska",895 000 zł,11329 zł/m2,79,3,parter
"Gdańsk Żabianka, Pomorska 90",525 000 zł,11099 zł/m2,47.3,2,2
"Gdańsk Przymorze, Piastowska",999 000 zł,21759 zł/m2,45.91,3,1
"Sopot Górny Sopot, Adama Mickiewicza",880 000 zł,16236 zł/m2,54.2,9,parter
"Gdynia Obłuże, Benisławskiego",1 440 000 zł,6605 zł/m2,218,2,3
"Sopot Górny Sopot, 23 Marca",480 000 zł,12631 zł/m2,38,2,1
"Gdańsk Kokoszki, Nowatorów",499 000 zł,10935 zł/m2,45.63,1,4
"Gdynia Chylonia, Chylońska",270 000 zł,16875 zł/m2,16,2,1
"Gdańsk Zaspa, Janusza Meissnera",528 000 zł,10954 zł/m2,48.2,3,parter
"Gdańsk Św. Wojciech, Kazimierza Wielkiego",499 000 zł,9980 zł/m2,50,3,7
"Gdańsk Wrzeszcz, Jana Ostroroga",568 000 zł,10819 zł/m2,52.5,3,3
"Gdańsk Zaspa, Leszczyńskich",635 000 zł,12802 zł/m2,49.6,1,3
"Gdańsk Zaspa, Jana Pawła Ii",450 000 zł,14563 zł/m2,30.9,3,3
"Gdańsk Nowy Port, Marynarki Polskiej",619 000 zł,9329 zł/m2,66.35,3,3
"Gdańsk Dolne Miasto, Toruńska",675 000 zł,12857 zł/m2,52.5,3,parter
"Gdańsk Strzyża, Chopina",520 000 zł,10000 zł/m2,52,2,3
"Gdańsk Orunia, Koralowa",349 000 zł,9432 zł/m2,37,5,1
"Gdańsk Niedźwiednik, Góralska",899 000 zł,8561 zł/m2,105,4,parter
"Gdańsk Oliwa, Poczty Gdańskiej",1 300 000 zł,13069 zł/m2,99.47,3,3
"Gdynia Witomino, Krótka",670 000 zł,10000 zł/m2,67,3,2
"Gdańsk Siedlce, Bystrzycka",1 380 000 zł,14980 zł/m2,92.12,2,2
"Gdańsk Maćkowy, Pastelowa",349 900 zł,9076 zł/m2,38.55,4,parter
"Gdańsk Jasień, Połczyńska",649 000 zł,8682 zł/m2,74.75,1,2
"Gdańsk Jasień, Guderskiego",359 000 zł,14078 zł/m2,25.5,2,parter
"Gdańsk Brzeźno, Ksawerego Dunikowskiego",585 000 zł,12717 zł/m2,46,1,1
"Gdańsk Przymorze, Sambora",390 000 zł,13000 zł/m2,30,3,parter
Gdynia Karwiny,620 000 zł,10450 zł/m2,59.33,1,4
"Gdańsk Łostowice, Wielkopolska",289 000 zł,11560 zł/m2,25,2,parter
"Gdynia Chylonia, Młyńska",369 000 zł,10000 zł/m2,36.9,3,1
"Gdynia Działki Leśne, Szczecińska",540 000 zł,10778 zł/m2,50.1,3,3
"Gdańsk Zaspa, Startowa",949 000 zł,15380 zł/m2,61.7,3,7
"Gdańsk Śródmieście, Stara Stocznia",1 320 000 zł,25512 zł/m2,51.74,3,4
"Gdańsk Przymorze, Pomorska 82",725 000 zł,11453 zł/m2,63.3,2,3
"Gdańsk Stogi, Hoża",429 000 zł,12257 zł/m2,35,3,3
"Gdańsk Śródmieście, Stara Stocznia",1 320 000 zł,25512 zł/m2,51.74,3,4
"Gdańsk Śródmieście, Stara Stocznia",1 320 000 zł,25512 zł/m2,51.74,4,6
"Gdańsk Wrzeszcz, Michała Glinki",1 249 000 zł,11141 zł/m2,112.1,3,2
"Gdańsk Żabianka, Grunwaldzka",499 000 zł,10204 zł/m2,48.9,4,5
"Gdańsk Morena, Myśliwska",819 000 zł,10776 zł/m2,76,3,1
"Gdańsk Przymorze, Piastowska",469 000 zł,10195 zł/m2,46,3,1
"Gdańsk Łostowice, Niepołomicka",459 000 zł,9228 zł/m2,49.74,2,2
"Gdańsk Morena, Myśliwskie Wzgórze",550 000 zł,11224 zł/m2,49,2,9
"Gdańsk Śródmieście, Wałowa",848 320 zł,19280 zł/m2,44,3,2
"Gdynia Działki Leśne, Falista",580 000 zł,11026 zł/m2,52.6,3,parter
"Gdańsk Jasień, Turzycowa",680 000 zł,10045 zł/m2,67.69,3,parter
"Gdynia Wiczlino, Filipkowskiego",767 500 zł,10995 zł/m2,69.8,3,parter
"Gdańsk Oliwa, Wąsowicza 5",650 000 zł,10383 zł/m2,62.6,1,3
"Gdańsk Zakoniczyn, Konrada Guderskiego",395 000 zł,11933 zł/m2,33.1,2,4
"Gdańsk Ujeścisko, Cedrowa",599 000 zł,11980 zł/m2,50,4,3
"Gdynia Dąbrowa, Oliwkowa",949 000 zł,10554 zł/m2,89.92,4,parter
"Gdańsk Śródmieście, Mariacka",1 199 000 zł,16209 zł/m2,73.97,2,1
"Gdańsk, Hokejowa",415 000 zł,10641 zł/m2,39,5,3
"Gdańsk Morena, Orańska",670 000 zł,8933 zł/m2,75,3,parter
"Gdańsk Morena, Bażantowa",975 000 zł,9948 zł/m2,98,2,1
"Gdańsk Kowale, Glazurowa 23",519 000 zł,11795 zł/m2,44,2,3
Gdańsk,620 000 zł,11809 zł/m2,52.5,4,4
"Gdańsk Łostowice, Olimpijska 46",639 000 zł,8520 zł/m2,75,2,parter
"Gdańsk Przymorze, Kołobrzeska",449 000 zł,9977 zł/m2,45,3,parter
"Gdańsk Śródmieście, Krosna",725 000 zł,11508 zł/m2,63,2,1
"Gdańsk Zaspa, Jerzego Bajana",580 000 zł,11717 zł/m2,49.5,3,4
"Gdańsk Śródmieście, Lawendowa",999 000 zł,14575 zł/m2,68.54,1,1
"Gdynia Chylonia, Chylońska",260 000 zł,10034 zł/m2,25.91,1,3
"Gdynia Śródmieście, Morska",370 000 zł,15308 zł/m2,24.17,3,2
"Gdańsk Kowale, Guderskiego",560 000 zł,10000 zł/m2,56,5,parter
"Sopot Górny Sopot, Artura Grottgera",1 649 000 zł,17712 zł/m2,93.1,2,parter
"Gdańsk Długie Ogrody, Sienna Grobla",866 000 zł,16816 zł/m2,51.5,1,2
"Gdynia Śródmieście, Świętojańska",378 000 zł,13500 zł/m2,28,2,8
"Gdańsk Wrzeszcz, Michała Glinki",599 000 zł,12076 zł/m2,49.6,3,parter
"Sopot Osiedle Przylesie, 23 Marca",599 000 zł,11301 zł/m2,53,5,3
"Gdynia Mały Kack, Strzelców",1 690 000 zł,12803 zł/m2,132,3,2
"Gdańsk Zakoniczyn, Jaworzniaków",599 000 zł,7986 zł/m2,75,3,3
"Gdańsk Jasień, Leszczynowa",760 000 zł,11279 zł/m2,67.38,3,2
Gdańsk Chełm,820 000 zł,10718 zł/m2,76.5,4,1
"Gdynia Śródmieście, Władysława Iv",778 000 zł,11869 zł/m2,65.55,1,3
"Gdynia Wzgórze św. Maksymiliana, Mikołaja Kopernika",449 000 zł,13901 zł/m2,32.3,3,2
"Gdynia Obłuże, Turkusowa",359 000 zł,7066 zł/m2,50.8,3,3
"Sopot Górny Sopot, Gen. Władysława Sikorskiego",2 990 000 zł,20621 zł/m2,145,3,4
"Gdańsk Orunia Górna, 3 Brygady Szczerbca",739 000 zł,11300 zł/m2,65.4,2,1
"Gdańsk Żabianka, Jakuba Wejhera",449 000 zł,13815 zł/m2,32.5,3,1
"Gdynia Chylonia, Chylońska",359 000 zł,7428 zł/m2,48.33,3,4
"Gdynia Wiczlino, Władysława Wagnera",659 000 zł,11464 zł/m2,57.48,4,1
"Gdynia Obłuże, Płk. Stanisława Dąbka",399 000 zł,6333 zł/m2,63,2,3
"Gdańsk Łostowice, Wielkopolska",419 000 zł,12601 zł/m2,33.25,3,parter
